zip_code,msa_name,per_low_income,at_risk
94572,"San Francisco-Oakland-Fremont, CA MSA",17.299999999999997,True
94577,"San Francisco-Oakland-Fremont, CA MSA",19.1,True
94578,"San Francisco-Oakland-Fremont, CA MSA",20.7,True
94579,"San Francisco-Oakland-Fremont, CA MSA",15.5,True
94580,"San Francisco-Oakland-Fremont, CA MSA",14.100000000000001,True
94582,"San Francisco-Oakland-Fremont, CA MSA",6.4,False
94583,"San Francisco-Oakland-Fremont, CA MSA",4.5,False
94586,"San Francisco-Oakland-Fremont, CA MSA",12.3,False
94587,"San Francisco-Oakland-Fremont, CA MSA",12.3,False
94588,"San Francisco-Oakland-Fremont, CA MSA",5.6,False
94595,"San Francisco-Oakland-Fremont, CA MSA",18.0,True
94596,"San Francisco-Oakland-Fremont, CA MSA",10.7,False
94597,"San Francisco-Oakland-Fremont, CA MSA",13.3,True
94598,"San Francisco-Oakland-Fremont, CA MSA",8.3,False
94601,"San Francisco-Oakland-Fremont, CA MSA",35.599999999999994,True
94602,"San Francisco-Oakland-Fremont, CA MSA",21.4,True
94603,"San Francisco-Oakland-Fremont, CA MSA",30.8,True
94605,"San Francisco-Oakland-Fremont, CA MSA",25.5,True
94606,"San Francisco-Oakland-Fremont, CA MSA",36.1,True
94607,"San Francisco-Oakland-Fremont, CA MSA",40.1,True
94608,"San Francisco-Oakland-Fremont, CA MSA",27.0,True
94609,"San Francisco-Oakland-Fremont, CA MSA",27.200000000000003,True
94610,"San Francisco-Oakland-Fremont, CA MSA",13.6,True
94611,"San Francisco-Oakland-Fremont, CA MSA",14.1,True
94612,"San Francisco-Oakland-Fremont, CA MSA",48.7,True
94618,"San Francisco-Oakland-Fremont, CA MSA",9.0,False
94619,"San Francisco-Oakland-Fremont, CA MSA",17.0,True
94621,"San Francisco-Oakland-Fremont, CA MSA",39.599999999999994,True
94702,"San Francisco-Oakland-Fremont, CA MSA",26.1,True
94703,"San Francisco-Oakland-Fremont, CA MSA",26.4,True
94704,"San Francisco-Oakland-Fremont, CA MSA",41.5,True
94705,"San Francisco-Oakland-Fremont, CA MSA",16.7,True
94706,"San Francisco-Oakland-Fremont, CA MSA",16.8,True
94707,"San Francisco-Oakland-Fremont, CA MSA",6.800000000000001,False
94708,"San Francisco-Oakland-Fremont, CA MSA",6.2,False
94709,"San Francisco-Oakland-Fremont, CA MSA",24.2,True
