zip_code,msa_name,per_college_educated,at_risk
64474,"St. Joseph, MO-KS MSA",22.1,True
64480,"St. Joseph, MO-KS MSA",5.1,True
64483,"St. Joseph, MO-KS MSA",61.3,False
64484,"St. Joseph, MO-KS MSA",39.6,False
64485,"St. Joseph, MO-KS MSA",39.4,False
64490,"St. Joseph, MO-KS MSA",26.7,True
64494,"St. Joseph, MO-KS MSA",24.6,True
64497,"St. Joseph, MO-KS MSA",0.0,True
64501,"St. Joseph, MO-KS MSA",17.2,True
64503,"St. Joseph, MO-KS MSA",37.0,False
64504,"St. Joseph, MO-KS MSA",28.5,True
64505,"St. Joseph, MO-KS MSA",28.4,True
64506,"St. Joseph, MO-KS MSA",51.9,False
64507,"St. Joseph, MO-KS MSA",49.8,False
66008,"St. Joseph, MO-KS MSA",78.6,False
66017,"St. Joseph, MO-KS MSA",5.6,True
66024,"St. Joseph, MO-KS MSA",38.4,False
66035,"St. Joseph, MO-KS MSA",83.4,False
66087,"St. Joseph, MO-KS MSA",36.2,True
66090,"St. Joseph, MO-KS MSA",38.9,False
66094,"St. Joseph, MO-KS MSA",41.0,False
15001,"Pittsburgh, PA MSA",40.1,False
15003,"Pittsburgh, PA MSA",36.2,False
15005,"Pittsburgh, PA MSA",43.9,False
15006,"Pittsburgh, PA MSA",100.0,False
15007,"Pittsburgh, PA MSA",35.1,True
15009,"Pittsburgh, PA MSA",37.3,False
15010,"Pittsburgh, PA MSA",51.4,False
15012,"Pittsburgh, PA MSA",41.9,False
15014,"Pittsburgh, PA MSA",35.3,True
15015,"Pittsburgh, PA MSA",38.7,False
15017,"Pittsburgh, PA MSA",30.6,True
15018,"Pittsburgh, PA MSA",63.7,False
15019,"Pittsburgh, PA MSA",59.2,False
15020,"Pittsburgh, PA MSA",100.0,False
15021,"Pittsburgh, PA MSA",29.6,True
15022,"Pittsburgh, PA MSA",39.5,False
15024,"Pittsburgh, PA MSA",51.9,False
15025,"Pittsburgh, PA MSA",42.9,False
15026,"Pittsburgh, PA MSA",43.5,False
15027,"Pittsburgh, PA MSA",69.3,False
15028,"Pittsburgh, PA MSA",0.0,True
15030,"Pittsburgh, PA MSA",57.1,False
15031,"Pittsburgh, PA MSA",100.0,False
15033,"Pittsburgh, PA MSA",23.1,True
15034,"Pittsburgh, PA MSA",60.5,False
15035,"Pittsburgh, PA MSA",16.3,True
15037,"Pittsburgh, PA MSA",35.1,True
15038,"Pittsburgh, PA MSA",0.0,True
15042,"Pittsburgh, PA MSA",33.6,True
15043,"Pittsburgh, PA MSA",31.5,True
15044,"Pittsburgh, PA MSA",35.8,True
15045,"Pittsburgh, PA MSA",32.7,True
15046,"Pittsburgh, PA MSA",26.6,True
15049,"Pittsburgh, PA MSA",28.6,True
15050,"Pittsburgh, PA MSA",55.7,False
15051,"Pittsburgh, PA MSA",100.0,False
15052,"Pittsburgh, PA MSA",36.7,False
15054,"Pittsburgh, PA MSA",7.1,True
15055,"Pittsburgh, PA MSA",40.0,False
15056,"Pittsburgh, PA MSA",14.3,True
15057,"Pittsburgh, PA MSA",26.1,True
15059,"Pittsburgh, PA MSA",46.1,False
15060,"Pittsburgh, PA MSA",40.0,False
15061,"Pittsburgh, PA MSA",44.9,False
15062,"Pittsburgh, PA MSA",25.8,True
15063,"Pittsburgh, PA MSA",31.0,True
15064,"Pittsburgh, PA MSA",86.7,False
15065,"Pittsburgh, PA MSA",31.6,True
15066,"Pittsburgh, PA MSA",31.8,True
15067,"Pittsburgh, PA MSA",26.6,True
15068,"Pittsburgh, PA MSA",36.2,False
15071,"Pittsburgh, PA MSA",60.8,False
15074,"Pittsburgh, PA MSA",35.7,True
15075,"Pittsburgh, PA MSA",0.0,True
15076,"Pittsburgh, PA MSA",42.3,False
15077,"Pittsburgh, PA MSA",11.1,True
15078,"Pittsburgh, PA MSA",0.0,True
15081,"Pittsburgh, PA MSA",30.8,True
15082,"Pittsburgh, PA MSA",100.0,False
15083,"Pittsburgh, PA MSA",47.6,False
15084,"Pittsburgh, PA MSA",26.7,True
15085,"Pittsburgh, PA MSA",33.9,True
15086,"Pittsburgh, PA MSA",0.0,True
15087,"Pittsburgh, PA MSA",100.0,False
15088,"Pittsburgh, PA MSA",10.4,True
15089,"Pittsburgh, PA MSA",74.3,False
15090,"Pittsburgh, PA MSA",55.2,False
15101,"Pittsburgh, PA MSA",37.7,False
15102,"Pittsburgh, PA MSA",44.6,False
15104,"Pittsburgh, PA MSA",33.1,True
15106,"Pittsburgh, PA MSA",35.2,True
15108,"Pittsburgh, PA MSA",50.8,False
15110,"Pittsburgh, PA MSA",26.8,True
15112,"Pittsburgh, PA MSA",35.1,True
15116,"Pittsburgh, PA MSA",32.9,True
15120,"Pittsburgh, PA MSA",50.1,False
15122,"Pittsburgh, PA MSA",33.3,True
15126,"Pittsburgh, PA MSA",30.0,True
15129,"Pittsburgh, PA MSA",54.1,False
15131,"Pittsburgh, PA MSA",61.4,False
15132,"Pittsburgh, PA MSA",34.5,True
15133,"Pittsburgh, PA MSA",48.2,False
15135,"Pittsburgh, PA MSA",54.8,False
15136,"Pittsburgh, PA MSA",37.7,False
15137,"Pittsburgh, PA MSA",57.2,False
15139,"Pittsburgh, PA MSA",32.2,True
15140,"Pittsburgh, PA MSA",26.9,True
15142,"Pittsburgh, PA MSA",25.8,True
15143,"Pittsburgh, PA MSA",45.6,False
15144,"Pittsburgh, PA MSA",30.0,True
15145,"Pittsburgh, PA MSA",39.3,False
15146,"Pittsburgh, PA MSA",46.3,False
15147,"Pittsburgh, PA MSA",36.8,False
15148,"Pittsburgh, PA MSA",70.2,False
15201,"Pittsburgh, PA MSA",42.8,False
15202,"Pittsburgh, PA MSA",44.7,False
15203,"Pittsburgh, PA MSA",47.5,False
15204,"Pittsburgh, PA MSA",25.0,True
15205,"Pittsburgh, PA MSA",40.4,False
15206,"Pittsburgh, PA MSA",27.7,True
15207,"Pittsburgh, PA MSA",53.1,False
15208,"Pittsburgh, PA MSA",39.6,False
15209,"Pittsburgh, PA MSA",28.2,True
15210,"Pittsburgh, PA MSA",37.3,False
15211,"Pittsburgh, PA MSA",36.6,False
15212,"Pittsburgh, PA MSA",48.9,False
15213,"Pittsburgh, PA MSA",73.3,False
15214,"Pittsburgh, PA MSA",25.3,True
15215,"Pittsburgh, PA MSA",40.3,False
15216,"Pittsburgh, PA MSA",50.1,False
15217,"Pittsburgh, PA MSA",45.2,False
15218,"Pittsburgh, PA MSA",34.7,True
15219,"Pittsburgh, PA MSA",64.5,False
15220,"Pittsburgh, PA MSA",33.7,True
15221,"Pittsburgh, PA MSA",37.0,False
15222,"Pittsburgh, PA MSA",54.6,False
15223,"Pittsburgh, PA MSA",41.1,False
15224,"Pittsburgh, PA MSA",40.1,False
15225,"Pittsburgh, PA MSA",38.2,False
15226,"Pittsburgh, PA MSA",28.1,True
15227,"Pittsburgh, PA MSA",31.0,True
15228,"Pittsburgh, PA MSA",43.0,False
15229,"Pittsburgh, PA MSA",28.6,True
15232,"Pittsburgh, PA MSA",27.9,True
15233,"Pittsburgh, PA MSA",11.9,True
15234,"Pittsburgh, PA MSA",36.7,False
15235,"Pittsburgh, PA MSA",40.5,False
15236,"Pittsburgh, PA MSA",49.4,False
15237,"Pittsburgh, PA MSA",39.7,False
15238,"Pittsburgh, PA MSA",38.2,False
15239,"Pittsburgh, PA MSA",40.9,False
15241,"Pittsburgh, PA MSA",41.0,False
15243,"Pittsburgh, PA MSA",45.0,False
15301,"Pittsburgh, PA MSA",41.8,False
15311,"Pittsburgh, PA MSA",35.1,True
15312,"Pittsburgh, PA MSA",20.4,True
15313,"Pittsburgh, PA MSA",0.0,True
15314,"Pittsburgh, PA MSA",26.5,True
15317,"Pittsburgh, PA MSA",40.9,False
