zip_code,msa_name,income,gentrified
63141,"St. Louis, MO-IL MSA",122917.0,False
63143,"St. Louis, MO-IL MSA",65712.0,True
63144,"St. Louis, MO-IL MSA",91312.0,False
63146,"St. Louis, MO-IL MSA",85724.0,True
63147,"St. Louis, MO-IL MSA",39119.0,False
63301,"St. Louis, MO-IL MSA",83551.0,True
63303,"St. Louis, MO-IL MSA",98031.0,True
63304,"St. Louis, MO-IL MSA",114124.0,False
63332,"St. Louis, MO-IL MSA",137083.0,True
63341,"St. Louis, MO-IL MSA",177583.0,True
63343,"St. Louis, MO-IL MSA",71523.0,True
63347,"St. Louis, MO-IL MSA",78144.0,False
63348,"St. Louis, MO-IL MSA",106458.0,True
63349,"St. Louis, MO-IL MSA",81719.0,True
63357,"St. Louis, MO-IL MSA",87500.0,False
63362,"St. Louis, MO-IL MSA",85300.0,True
63365,"St. Louis, MO-IL MSA",41125.0,False
63366,"St. Louis, MO-IL MSA",98237.0,True
63367,"St. Louis, MO-IL MSA",134932.0,True
63368,"St. Louis, MO-IL MSA",118811.0,True
63369,"St. Louis, MO-IL MSA",94079.0,True
63373,"St. Louis, MO-IL MSA",77250.0,True
63376,"St. Louis, MO-IL MSA",94921.0,False
63377,"St. Louis, MO-IL MSA",85987.0,True
63379,"St. Louis, MO-IL MSA",86844.0,True
63381,"St. Louis, MO-IL MSA",109231.0,True
63383,"St. Louis, MO-IL MSA",75833.0,True
63385,"St. Louis, MO-IL MSA",111851.0,True
63386,"St. Louis, MO-IL MSA",125313.0,True
63387,"St. Louis, MO-IL MSA",98250.0,True
63389,"St. Louis, MO-IL MSA",92646.0,True
63390,"St. Louis, MO-IL MSA",79803.0,True
63622,"St. Louis, MO-IL MSA",48065.0,False
63630,"St. Louis, MO-IL MSA",50896.0,True
63631,"St. Louis, MO-IL MSA",72344.0,False
63648,"St. Louis, MO-IL MSA",37298.0,False
63660,"St. Louis, MO-IL MSA",55981.0,True
63664,"St. Louis, MO-IL MSA",52071.0,True
65441,"St. Louis, MO-IL MSA",63139.0,True
65446,"St. Louis, MO-IL MSA",81452.0,False
65449,"St. Louis, MO-IL MSA",29397.0,False
65453,"St. Louis, MO-IL MSA",61504.0,True
65456,"St. Louis, MO-IL MSA",96300.0,True
65535,"St. Louis, MO-IL MSA",55230.0,True
65565,"St. Louis, MO-IL MSA",51232.0,True
46301,"Chicago-Naperville-Joliet, IL-IN-WI MSA",118750.0,True
46302,"Chicago-Naperville-Joliet, IL-IN-WI MSA",66000.0,False
46303,"Chicago-Naperville-Joliet, IL-IN-WI MSA",78659.0,False
46304,"Chicago-Naperville-Joliet, IL-IN-WI MSA",88551.0,False
46307,"Chicago-Naperville-Joliet, IL-IN-WI MSA",102118.0,True
46310,"Chicago-Naperville-Joliet, IL-IN-WI MSA",81083.0,False
46311,"Chicago-Naperville-Joliet, IL-IN-WI MSA",109167.0,True
46312,"Chicago-Naperville-Joliet, IL-IN-WI MSA",41071.0,True
46319,"Chicago-Naperville-Joliet, IL-IN-WI MSA",75976.0,False
46320,"Chicago-Naperville-Joliet, IL-IN-WI MSA",35706.0,False
46321,"Chicago-Naperville-Joliet, IL-IN-WI MSA",105764.0,True
46322,"Chicago-Naperville-Joliet, IL-IN-WI MSA",76219.0,False
46323,"Chicago-Naperville-Joliet, IL-IN-WI MSA",56906.0,False
46324,"Chicago-Naperville-Joliet, IL-IN-WI MSA",61118.0,True
46327,"Chicago-Naperville-Joliet, IL-IN-WI MSA",50457.0,True
46341,"Chicago-Naperville-Joliet, IL-IN-WI MSA",99444.0,True
46342,"Chicago-Naperville-Joliet, IL-IN-WI MSA",72163.0,False
46347,"Chicago-Naperville-Joliet, IL-IN-WI MSA",84246.0,False
46349,"Chicago-Naperville-Joliet, IL-IN-WI MSA",75057.0,True
46356,"Chicago-Naperville-Joliet, IL-IN-WI MSA",87535.0,False
46368,"Chicago-Naperville-Joliet, IL-IN-WI MSA",72638.0,True
46373,"Chicago-Naperville-Joliet, IL-IN-WI MSA",123203.0,False
46375,"Chicago-Naperville-Joliet, IL-IN-WI MSA",89646.0,False
46376,"Chicago-Naperville-Joliet, IL-IN-WI MSA",68750.0,False
46379,"Chicago-Naperville-Joliet, IL-IN-WI MSA",96490.0,True
46381,"Chicago-Naperville-Joliet, IL-IN-WI MSA",45391.0,False
46383,"Chicago-Naperville-Joliet, IL-IN-WI MSA",75575.0,False
46385,"Chicago-Naperville-Joliet, IL-IN-WI MSA",97208.0,False
46392,"Chicago-Naperville-Joliet, IL-IN-WI MSA",93875.0,True
46393,"Chicago-Naperville-Joliet, IL-IN-WI MSA",36645.0,False
46394,"Chicago-Naperville-Joliet, IL-IN-WI MSA",66386.0,True
46402,"Chicago-Naperville-Joliet, IL-IN-WI MSA",29125.0,True
46403,"Chicago-Naperville-Joliet, IL-IN-WI MSA",44114.0,False
46404,"Chicago-Naperville-Joliet, IL-IN-WI MSA",39188.0,True
46405,"Chicago-Naperville-Joliet, IL-IN-WI MSA",57005.0,True
46406,"Chicago-Naperville-Joliet, IL-IN-WI MSA",35631.0,False
46407,"Chicago-Naperville-Joliet, IL-IN-WI MSA",25551.0,False
46408,"Chicago-Naperville-Joliet, IL-IN-WI MSA",47063.0,False
46409,"Chicago-Naperville-Joliet, IL-IN-WI MSA",40637.0,False
46410,"Chicago-Naperville-Joliet, IL-IN-WI MSA",61735.0,False
47922,"Chicago-Naperville-Joliet, IL-IN-WI MSA",59427.0,False
47943,"Chicago-Naperville-Joliet, IL-IN-WI MSA",64231.0,False
47948,"Chicago-Naperville-Joliet, IL-IN-WI MSA",57563.0,False
47951,"Chicago-Naperville-Joliet, IL-IN-WI MSA",63228.0,False
47963,"Chicago-Naperville-Joliet, IL-IN-WI MSA",74318.0,True
47964,"Chicago-Naperville-Joliet, IL-IN-WI MSA",45000.0,False
47977,"Chicago-Naperville-Joliet, IL-IN-WI MSA",75227.0,False
47978,"Chicago-Naperville-Joliet, IL-IN-WI MSA",71359.0,True
53104,"Chicago-Naperville-Joliet, IL-IN-WI MSA",107951.0,True
53140,"Chicago-Naperville-Joliet, IL-IN-WI MSA",56803.0,True
53142,"Chicago-Naperville-Joliet, IL-IN-WI MSA",86891.0,False
53143,"Chicago-Naperville-Joliet, IL-IN-WI MSA",67105.0,True
53144,"Chicago-Naperville-Joliet, IL-IN-WI MSA",71111.0,False
53158,"Chicago-Naperville-Joliet, IL-IN-WI MSA",107730.0,True
53168,"Chicago-Naperville-Joliet, IL-IN-WI MSA",104712.0,True
53170,"Chicago-Naperville-Joliet, IL-IN-WI MSA",78456.0,True
53179,"Chicago-Naperville-Joliet, IL-IN-WI MSA",93333.0,True
53181,"Chicago-Naperville-Joliet, IL-IN-WI MSA",93922.0,True
60002,"Chicago-Naperville-Joliet, IL-IN-WI MSA",109047.0,False
60004,"Chicago-Naperville-Joliet, IL-IN-WI MSA",124962.0,True
60005,"Chicago-Naperville-Joliet, IL-IN-WI MSA",100304.0,True
60007,"Chicago-Naperville-Joliet, IL-IN-WI MSA",95240.0,False
60008,"Chicago-Naperville-Joliet, IL-IN-WI MSA",96213.0,True
60010,"Chicago-Naperville-Joliet, IL-IN-WI MSA",175050.0,True
60012,"Chicago-Naperville-Joliet, IL-IN-WI MSA",147352.0,True
60013,"Chicago-Naperville-Joliet, IL-IN-WI MSA",115833.0,False
60014,"Chicago-Naperville-Joliet, IL-IN-WI MSA",104657.0,False
60015,"Chicago-Naperville-Joliet, IL-IN-WI MSA",186786.0,True
60016,"Chicago-Naperville-Joliet, IL-IN-WI MSA",84044.0,True
60018,"Chicago-Naperville-Joliet, IL-IN-WI MSA",85415.0,True
60020,"Chicago-Naperville-Joliet, IL-IN-WI MSA",71028.0,False
60021,"Chicago-Naperville-Joliet, IL-IN-WI MSA",122005.0,True
60025,"Chicago-Naperville-Joliet, IL-IN-WI MSA",119639.0,False
60026,"Chicago-Naperville-Joliet, IL-IN-WI MSA",157712.0,True
60029,"Chicago-Naperville-Joliet, IL-IN-WI MSA",238098.0,True
60030,"Chicago-Naperville-Joliet, IL-IN-WI MSA",104920.0,False
60031,"Chicago-Naperville-Joliet, IL-IN-WI MSA",114008.0,False
60033,"Chicago-Naperville-Joliet, IL-IN-WI MSA",72298.0,False
60034,"Chicago-Naperville-Joliet, IL-IN-WI MSA",96705.0,True
60035,"Chicago-Naperville-Joliet, IL-IN-WI MSA",161811.0,True
60040,"Chicago-Naperville-Joliet, IL-IN-WI MSA",101862.0,True
60041,"Chicago-Naperville-Joliet, IL-IN-WI MSA",91569.0,True
60042,"Chicago-Naperville-Joliet, IL-IN-WI MSA",94613.0,True
60044,"Chicago-Naperville-Joliet, IL-IN-WI MSA",127546.0,False
60045,"Chicago-Naperville-Joliet, IL-IN-WI MSA",225551.0,True
60046,"Chicago-Naperville-Joliet, IL-IN-WI MSA",122376.0,False
60047,"Chicago-Naperville-Joliet, IL-IN-WI MSA",173043.0,False
60048,"Chicago-Naperville-Joliet, IL-IN-WI MSA",169283.0,True
60050,"Chicago-Naperville-Joliet, IL-IN-WI MSA",86315.0,False
60051,"Chicago-Naperville-Joliet, IL-IN-WI MSA",104227.0,True
60053,"Chicago-Naperville-Joliet, IL-IN-WI MSA",106078.0,True
60056,"Chicago-Naperville-Joliet, IL-IN-WI MSA",104168.0,True
60060,"Chicago-Naperville-Joliet, IL-IN-WI MSA",110463.0,False
60061,"Chicago-Naperville-Joliet, IL-IN-WI MSA",121588.0,False
60062,"Chicago-Naperville-Joliet, IL-IN-WI MSA",142759.0,True
60064,"Chicago-Naperville-Joliet, IL-IN-WI MSA",49256.0,False
60067,"Chicago-Naperville-Joliet, IL-IN-WI MSA",121572.0,False
60068,"Chicago-Naperville-Joliet, IL-IN-WI MSA",138201.0,True
60069,"Chicago-Naperville-Joliet, IL-IN-WI MSA",157366.0,True
60070,"Chicago-Naperville-Joliet, IL-IN-WI MSA",91210.0,True
60071,"Chicago-Naperville-Joliet, IL-IN-WI MSA",77593.0,False
60072,"Chicago-Naperville-Joliet, IL-IN-WI MSA",153542.0,True
60073,"Chicago-Naperville-Joliet, IL-IN-WI MSA",95457.0,True
60074,"Chicago-Naperville-Joliet, IL-IN-WI MSA",81911.0,False
60076,"Chicago-Naperville-Joliet, IL-IN-WI MSA",103870.0,True
60077,"Chicago-Naperville-Joliet, IL-IN-WI MSA",80765.0,False
60081,"Chicago-Naperville-Joliet, IL-IN-WI MSA",116278.0,True
60083,"Chicago-Naperville-Joliet, IL-IN-WI MSA",111912.0,False
60084,"Chicago-Naperville-Joliet, IL-IN-WI MSA",104907.0,True
60085,"Chicago-Naperville-Joliet, IL-IN-WI MSA",64330.0,True
60087,"Chicago-Naperville-Joliet, IL-IN-WI MSA",79162.0,False
60088,"Chicago-Naperville-Joliet, IL-IN-WI MSA",62557.0,False
60089,"Chicago-Naperville-Joliet, IL-IN-WI MSA",129932.0,True
60090,"Chicago-Naperville-Joliet, IL-IN-WI MSA",83449.0,True
60091,"Chicago-Naperville-Joliet, IL-IN-WI MSA",190250.0,True
60093,"Chicago-Naperville-Joliet, IL-IN-WI MSA",230777.0,True
60096,"Chicago-Naperville-Joliet, IL-IN-WI MSA",94115.0,False
60097,"Chicago-Naperville-Joliet, IL-IN-WI MSA",90865.0,False
60098,"Chicago-Naperville-Joliet, IL-IN-WI MSA",92749.0,True
60099,"Chicago-Naperville-Joliet, IL-IN-WI MSA",65647.0,False
60101,"Chicago-Naperville-Joliet, IL-IN-WI MSA",87860.0,True
60102,"Chicago-Naperville-Joliet, IL-IN-WI MSA",128070.0,False
60103,"Chicago-Naperville-Joliet, IL-IN-WI MSA",131552.0,False
60104,"Chicago-Naperville-Joliet, IL-IN-WI MSA",77270.0,False
60106,"Chicago-Naperville-Joliet, IL-IN-WI MSA",78027.0,True
60107,"Chicago-Naperville-Joliet, IL-IN-WI MSA",101017.0,True
60108,"Chicago-Naperville-Joliet, IL-IN-WI MSA",99868.0,False
60109,"Chicago-Naperville-Joliet, IL-IN-WI MSA",81528.0,False
60110,"Chicago-Naperville-Joliet, IL-IN-WI MSA",87714.0,True
60111,"Chicago-Naperville-Joliet, IL-IN-WI MSA",110357.0,True
60112,"Chicago-Naperville-Joliet, IL-IN-WI MSA",79506.0,False
60115,"Chicago-Naperville-Joliet, IL-IN-WI MSA",46808.0,False
60118,"Chicago-Naperville-Joliet, IL-IN-WI MSA",104572.0,False
60119,"Chicago-Naperville-Joliet, IL-IN-WI MSA",124058.0,False
60120,"Chicago-Naperville-Joliet, IL-IN-WI MSA",80305.0,True
60123,"Chicago-Naperville-Joliet, IL-IN-WI MSA",86762.0,True
60124,"Chicago-Naperville-Joliet, IL-IN-WI MSA",135350.0,False
60126,"Chicago-Naperville-Joliet, IL-IN-WI MSA",143333.0,True
60129,"Chicago-Naperville-Joliet, IL-IN-WI MSA",111818.0,False
60130,"Chicago-Naperville-Joliet, IL-IN-WI MSA",81323.0,True
60131,"Chicago-Naperville-Joliet, IL-IN-WI MSA",76404.0,True
60133,"Chicago-Naperville-Joliet, IL-IN-WI MSA",92263.0,False
60134,"Chicago-Naperville-Joliet, IL-IN-WI MSA",148283.0,True
60135,"Chicago-Naperville-Joliet, IL-IN-WI MSA",87935.0,False
60136,"Chicago-Naperville-Joliet, IL-IN-WI MSA",124338.0,False
60137,"Chicago-Naperville-Joliet, IL-IN-WI MSA",131695.0,True
60139,"Chicago-Naperville-Joliet, IL-IN-WI MSA",81996.0,False
60140,"Chicago-Naperville-Joliet, IL-IN-WI MSA",114675.0,True
60141,"Chicago-Naperville-Joliet, IL-IN-WI MSA",16611.0,False
60142,"Chicago-Naperville-Joliet, IL-IN-WI MSA",87286.0,False
60143,"Chicago-Naperville-Joliet, IL-IN-WI MSA",112247.0,True
60145,"Chicago-Naperville-Joliet, IL-IN-WI MSA",88750.0,False
60146,"Chicago-Naperville-Joliet, IL-IN-WI MSA",84615.0,True
60148,"Chicago-Naperville-Joliet, IL-IN-WI MSA",96606.0,False
60150,"Chicago-Naperville-Joliet, IL-IN-WI MSA",92125.0,True
60151,"Chicago-Naperville-Joliet, IL-IN-WI MSA",121667.0,True
60152,"Chicago-Naperville-Joliet, IL-IN-WI MSA",94209.0,True
60153,"Chicago-Naperville-Joliet, IL-IN-WI MSA",66498.0,True
60154,"Chicago-Naperville-Joliet, IL-IN-WI MSA",103561.0,True
60155,"Chicago-Naperville-Joliet, IL-IN-WI MSA",59688.0,False
60156,"Chicago-Naperville-Joliet, IL-IN-WI MSA",113491.0,False
